PUMFID,PROVINCE,REGION,G_URBRUR,GCAGEGR6,CSEX,G_CEDUC,G_CSTUD,G_CLFSST,GFAMTYPE,G_HHSIZE,G_HEDUC,G_HSTUD,EV_Q01,EV_Q02,PU_Q01,PU_Q02,PU_Q03,PU_Q06A,PU_Q06E,PU_Q06J,PU_Q06K,PU_G06
539,24,2,1,2,1,2,2,2,2,2,2,2,1,4,1,6,6,6,6,6,6,6
540,35,3,2,4,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
541,12,1,4,5,1,2,2,1,3,1,2,2,1,3,1,6,6,6,6,6,6,6
542,24,2,4,6,2,3,2,3,2,2,3,2,2,6,6,6,6,6,6,6,6,6
543,59,6,3,3,1,3,2,1,1,4,3,1,1,4,1,6,6,6,6,6,6,6
544,24,2,4,4,1,3,2,1,3,1,3,2,1,4,2,2,2,2,2,2,1,2
545,46,4,4,1,1,1,1,3,1,4,3,1,1,4,1,6,6,6,6,6,6,6
546,35,3,5,6,1,1,2,3,2,2,1,2,1,4,1,6,6,6,6,6,6,6
547,35,3,2,2,1,3,2,1,2,4,3,1,1,3,1,6,6,6,6,6,6,6
548,24,2,4,3,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
549,59,6,4,2,1,2,2,1,4,2,3,2,1,4,1,6,6,6,6,6,6,6
550,59,6,3,4,1,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
551,12,1,5,3,1,2,2,1,1,4,3,2,1,4,1,6,6,6,6,6,6,6
552,47,4,4,6,1,2,2,3,3,1,2,2,1,4,1,6,6,6,6,6,6,6
553,13,1,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
554,48,5,5,5,1,2,2,1,2,2,2,2,1,3,2,1,4,2,2,2,2,1
555,48,5,4,3,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
556,48,5,5,6,1,2,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6
557,35,3,2,4,2,2,1,1,1,2,2,1,1,4,1,6,6,6,6,6,6,6
558,13,1,5,5,1,1,2,3,2,2,1,2,1,3,1,6,6,6,6,6,6,6
559,47,4,4,2,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
560,24,2,5,2,2,3,2,1,4,2,3,2,1,4,1,6,6,6,6,6,6,6
561,35,3,4,5,1,3,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
562,59,6,3,5,2,1,2,1,3,1,1,2,1,2,1,6,6,6,6,6,6,6
563,35,3,4,3,2,3,2,1,1,4,3,2,1,4,1,6,6,6,6,6,6,6
564,24,2,4,2,1,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
565,35,3,5,4,1,1,2,1,1,4,2,1,2,6,6,6,6,6,6,6,6,6
566,13,1,5,2,1,2,2,1,1,3,2,2,1,3,1,6,6,6,6,6,6,6
567,24,2,4,4,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
568,59,6,3,6,1,3,2,3,3,1,3,2,1,4,1,6,6,6,6,6,6,6
569,35,3,4,3,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
570,35,3,4,4,1,2,2,3,3,1,2,2,1,4,1,6,6,6,6,6,6,6
571,12,1,4,4,2,2,2,3,2,2,2,2,1,4,1,6,6,6,6,6,6,6
572,35,3,5,4,2,1,2,1,2,4,2,1,1,4,1,6,6,6,6,6,6,6
573,11,1,6,3,2,2,2,1,4,4,2,2,1,4,1,6,6,6,6,6,6,6
574,35,3,4,3,2,1,2,1,3,1,1,2,1,2,1,6,6,6,6,6,6,6
575,10,1,5,5,1,1,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6
576,48,5,5,2,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
577,35,3,5,4,2,2,2,1,2,2,2,2,1,4,2,2,4,2,1,2,2,2
578,46,4,4,6,1,2,2,3,1,4,2,2,1,4,1,6,6,6,6,6,6,6
579,48,5,5,3,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
580,35,3,4,2,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
581,48,5,4,2,2,1,2,1,1,3,2,2,1,4,1,6,6,6,6,6,6,6
582,35,3,4,4,2,1,2,1,2,4,2,1,1,4,1,6,6,6,6,6,6,6
583,35,3,4,1,2,1,1,1,2,2,1,1,1,4,1,6,6,6,6,6,6,6
584,35,3,4,6,2,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
585,59,6,5,4,2,1,2,1,2,3,1,1,1,4,1,6,6,6,6,6,6,6
586,12,1,4,2,1,2,2,1,2,4,2,1,1,4,1,6,6,6,6,6,6,6
587,47,4,4,2,1,1,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
588,47,4,5,6,1,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
589,24,2,5,1,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
590,35,3,4,1,2,2,2,2,3,1,2,2,1,4,1,6,6,6,6,6,6,6
591,24,2,4,2,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
592,47,4,4,6,1,1,2,1,2,2,1,2,2,6,6,6,6,6,6,6,6,6
593,48,5,4,2,1,1,1,3,3,1,1,1,1,3,1,6,6,6,6,6,6,6
594,48,5,5,5,2,1,2,1,2,3,2,2,2,6,6,6,6,6,6,6,6,6
595,12,1,4,6,1,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
596,35,3,5,4,1,2,2,1,2,3,3,2,1,3,1,6,6,6,6,6,6,6
597,24,2,4,5,2,3,2,1,2,2,3,2,1,3,1,6,6,6,6,6,6,6
598,24,2,1,2,1,1,2,1,4,2,1,2,1,3,1,6,6,6,6,6,6,6
599,13,1,5,3,2,1,2,3,1,3,1,2,1,4,1,6,6,6,6,6,6,6
600,46,4,5,3,1,1,2,1,1,4,2,2,1,3,1,6,6,6,6,6,6,6
601,12,1,4,3,1,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
602,48,5,4,2,2,2,2,3,1,3,2,2,1,4,1,6,6,6,6,6,6,6
603,35,3,4,4,1,2,2,1,3,1,2,2,1,4,2,7,1,2,2,2,2,1
604,47,4,4,6,2,2,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
605,59,6,4,3,1,1,2,1,4,2,1,2,1,4,1,6,6,6,6,6,6,6
606,24,2,5,5,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
607,24,2,5,5,1,1,2,1,3,1,1,2,2,6,6,6,6,6,6,6,6,6
608,59,6,3,2,2,3,2,1,1,4,3,1,1,4,1,6,6,6,6,6,6,6
609,59,6,5,2,2,2,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
610,47,4,4,3,1,1,2,1,3,1,1,2,1,2,1,6,6,6,6,6,6,6
611,12,1,4,2,2,2,1,3,1,4,3,1,1,4,1,6,6,6,6,6,6,6
612,12,1,4,4,2,1,2,1,3,1,1,2,1,4,1,6,6,6,6,6,6,6
613,13,1,4,4,1,2,2,1,2,2,2,2,1,3,2,2,4,2,1,2,2,2
614,59,6,5,4,2,2,1,1,3,1,2,1,1,4,1,6,6,6,6,6,6,6
615,48,5,4,1,2,1,1,3,1,4,3,1,1,4,1,6,6,6,6,6,6,6
616,46,4,4,3,1,2,2,1,2,2,2,2,1,3,1,6,6,6,6,6,6,6
617,46,4,4,3,1,1,2,1,3,1,1,2,1,4,1,6,6,6,6,6,6,6
618,59,6,5,6,2,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
619,35,3,4,5,1,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
620,13,1,4,4,1,1,2,2,4,4,2,1,1,4,1,6,6,6,6,6,6,6
621,46,4,5,4,2,2,2,1,3,1,2,2,1,3,2,1,2,2,2,2,2,1
622,24,2,4,5,1,2,2,3,2,2,2,2,1,3,1,6,6,6,6,6,6,6
623,12,1,4,4,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
624,35,3,4,3,1,1,2,1,2,2,2,2,1,3,1,6,6,6,6,6,6,6
625,59,6,5,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
626,35,3,4,6,1,2,2,3,2,2,2,2,1,4,1,6,6,6,6,6,6,6
627,12,1,4,6,2,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
628,13,1,4,3,2,1,2,1,2,4,2,1,1,4,1,6,6,6,6,6,6,6
629,35,3,4,1,2,2,2,1,1,3,2,2,1,4,1,6,6,6,6,6,6,6
630,35,3,5,5,1,3,2,1,2,2,3,2,1,3,2,1,4,2,2,2,2,1
631,35,3,4,3,2,2,2,3,1,4,2,2,1,3,2,1,1,2,1,2,2,2
632,59,6,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
633,35,3,4,4,2,1,2,1,3,1,1,2,1,2,1,6,6,6,6,6,6,6
634,24,2,5,5,2,1,2,3,2,2,1,2,1,2,1,6,6,6,6,6,6,6
635,35,3,5,6,1,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
636,59,6,4,6,1,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
637,35,3,2,3,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
638,59,6,5,3,2,2,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
639,47,4,4,2,1,1,2,1,2,2,1,2,1,4,1,6,6,6,6,6,6,6
640,46,4,5,6,2,2,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
641,12,1,5,6,2,2,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
642,35,3,4,4,1,1,2,1,2,3,1,1,1,4,1,6,6,6,6,6,6,6
643,59,6,4,6,1,1,2,3,2,2,1,2,1,3,1,6,6,6,6,6,6,6
644,59,6,5,4,2,2,2,1,3,1,2,2,1,3,1,6,6,6,6,6,6,6
645,47,4,5,3,2,1,2,3,1,2,1,2,1,3,1,6,6,6,6,6,6,6
646,46,4,5,3,2,1,2,3,1,4,2,1,2,6,6,6,6,6,6,6,6,6
647,13,1,4,4,1,2,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
648,46,4,4,5,1,2,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
649,59,6,5,5,1,3,2,1,2,2,3,2,2,6,6,6,6,6,6,6,6,6
650,35,3,2,3,1,3,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
651,59,6,4,5,2,1,2,3,4,2,1,2,1,3,1,6,6,6,6,6,6,6
652,46,4,5,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
653,35,3,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
654,13,1,4,5,2,2,2,1,2,2,3,2,1,3,1,6,6,6,6,6,6,6
655,35,3,2,1,1,1,1,3,4,4,3,1,2,6,6,6,6,6,6,6,6,6
656,24,2,4,2,1,2,2,1,1,4,2,2,1,3,1,6,6,6,6,6,6,6
657,12,1,4,2,1,3,1,1,2,2,3,1,1,4,1,6,6,6,6,6,6,6
658,35,3,4,6,2,1,2,3,3,1,1,2,1,4,1,6,6,6,6,6,6,6
659,59,6,3,3,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
660,24,2,4,4,1,1,2,3,2,2,3,2,1,2,2,2,4,2,2,2,2,1
661,24,2,4,5,1,3,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
662,35,3,2,3,1,1,2,1,3,1,1,2,1,3,1,6,6,6,6,6,6,6
663,46,4,4,3,1,3,1,3,2,2,3,1,1,4,1,6,6,6,6,6,6,6
664,59,6,4,5,2,2,2,3,4,2,2,2,1,4,1,6,6,6,6,6,6,6
665,24,2,5,6,2,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
666,35,3,4,1,2,1,2,3,1,3,1,2,1,3,1,6,6,6,6,6,6,6
667,24,2,5,6,1,1,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
668,13,1,4,2,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
669,35,3,4,3,2,1,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
670,59,6,5,3,1,1,2,1,3,1,1,2,1,4,1,6,6,6,6,6,6,6
671,35,3,4,4,1,2,2,3,1,3,2,2,1,2,1,6,6,6,6,6,6,6
672,24,2,4,4,2,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
673,48,5,4,2,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
674,35,3,2,2,2,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
675,35,3,4,1,2,1,1,1,1,4,2,1,1,4,1,6,6,6,6,6,6,6
676,35,3,4,2,1,2,2,2,1,3,2,2,1,4,1,6,6,6,6,6,6,6
677,35,3,4,6,1,1,2,3,3,1,1,2,1,4,1,6,6,6,6,6,6,6
678,24,2,1,4,1,3,2,1,3,1,3,2,1,4,1,6,6,6,6,6,6,6
679,13,1,4,4,2,2,2,1,2,4,2,1,2,6,6,6,6,6,6,6,6,6
680,24,2,5,2,1,2,2,1,1,3,2,2,1,4,1,6,6,6,6,6,6,6
681,35,3,5,4,1,1,2,1,1,4,1,2,2,6,6,6,6,6,6,6,6,6
682,48,5,5,6,2,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
683,35,3,2,2,2,3,2,1,2,3,3,2,1,4,1,6,6,6,6,6,6,6
684,24,2,1,6,1,2,2,3,3,1,2,2,2,6,6,6,6,6,6,6,6,6
685,35,3,4,4,2,1,2,3,2,2,1,2,2,6,6,6,6,6,6,6,6,6
686,35,3,4,5,2,2,2,3,2,2,2,2,1,3,1,6,6,6,6,6,6,6
687,48,5,5,1,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
688,24,2,4,4,1,2,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
689,47,4,5,2,2,1,2,3,1,4,2,2,1,4,1,6,6,6,6,6,6,6
690,35,3,5,5,1,2,2,3,3,1,2,2,1,4,1,6,6,6,6,6,6,6
691,12,1,5,6,1,2,2,1,2,3,2,2,1,2,1,6,6,6,6,6,6,6
692,35,3,2,2,1,1,1,3,2,4,1,1,1,4,1,6,6,6,6,6,6,6
693,47,4,5,3,1,1,2,1,1,4,2,2,2,6,6,6,6,6,6,6,6,6
694,10,1,4,6,2,2,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
695,35,3,4,5,2,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
696,35,3,2,4,2,1,2,3,2,3,1,1,1,4,1,6,6,6,6,6,6,6
697,59,6,5,2,1,2,2,1,1,4,3,2,1,4,1,6,6,6,6,6,6,6
698,47,4,5,2,1,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
699,35,3,4,5,2,1,2,1,2,2,1,2,2,6,6,6,6,6,6,6,6,6
700,12,1,4,6,2,1,2,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6
701,12,1,4,3,1,3,2,1,1,4,3,2,1,4,1,6,6,6,6,6,6,6
702,59,6,5,6,1,1,2,1,3,1,1,2,2,6,6,6,6,6,6,6,6,6
703,48,5,5,3,2,2,2,1,1,4,2,2,1,4,1,6,6,6,6,6,6,6
704,24,2,5,4,2,1,1,3,3,1,1,1,1,4,1,6,6,6,6,6,6,6
705,48,5,4,4,1,2,2,1,1,3,2,2,1,4,1,6,6,6,6,6,6,6
706,47,4,5,6,2,1,2,3,3,1,1,2,1,4,1,6,6,6,6,6,6,6
707,35,3,4,4,2,2,2,1,1,4,2,1,1,4,1,6,6,6,6,6,6,6
